Region,Date,Vegetation_index_mean,Vegetation_index_max,Vegetation_index_min,Vegetation_index_std,Vegetation_index_variance
NSW,2005-01-01,0.349202013,0.997199953,-0.19999998800000002,0.204861658,0.041968299
NSW,2005-02-01,0.35740272,0.9771999720000001,-0.19999998800000002,0.20867280800000002,0.04354434099999999
NSW,2005-03-01,0.354086901,0.9749999640000001,-0.19999998800000002,0.20945045699999998,0.043869494
NSW,2005-04-01,0.34724221200000005,0.990399957,-0.19999998800000002,0.207306677,0.042976058
NSW,2005-05-01,0.345525727,0.997199953,-0.19999998800000002,0.202858051,0.041151389
NSW,2005-06-01,0.399652424,0.9601999520000001,-0.19999998800000002,0.188569978,0.035558637000000004
NSW,2005-07-01,0.45114301799999995,0.9554999470000001,-0.19999998800000002,0.17426667699999998,0.030368875
NSW,2005-08-01,0.49821812299999996,0.978199959,-0.19999998800000002,0.18110305899999998,0.032798318
NSW,2005-09-01,0.5055532229999999,0.980499983,-0.19999998800000002,0.204202021,0.041698465
NSW,2005-10-01,0.439442725,0.9813999529999999,-0.19999998800000002,0.214670716,0.046083517000000004
NSW,2005-11-01,0.39316626200000004,0.99149996,-0.19999998800000002,0.20618776,0.042513392000000004
NSW,2005-12-01,0.358580378,0.966099977,-0.19999998800000002,0.19228388100000002,0.036973091
NSW,2006-01-01,0.35921825399999996,0.9929999709999999,-0.19999998800000002,0.20663281100000003,0.042697118
NSW,2006-02-01,0.358147686,0.97329998,-0.19999998800000002,0.20509925199999998,0.042065702999999996
NSW,2006-03-01,0.363126396,0.9739999770000001,-0.19999998800000002,0.207308856,0.042976962
NSW,2006-04-01,0.36618038,0.98269999,-0.19999998800000002,0.20373069300000002,0.041506195
NSW,2006-05-01,0.362763503,0.985699952,-0.19999998800000002,0.20127762100000002,0.040512681
NSW,2006-06-01,0.38708032600000003,0.986699998,-0.19999998800000002,0.193259918,0.037349396
NSW,2006-07-01,0.444227353,0.974599957,-0.19999998800000002,0.177458841,0.03149164
NSW,2006-08-01,0.44757474399999997,0.979999959,-0.19999998800000002,0.180443728,0.032559938999999996
NSW,2006-09-01,0.39049878200000004,0.9749999640000001,-0.19999998800000002,0.183938364,0.033833322
NSW,2006-10-01,0.331553543,0.9921999570000001,-0.19999998800000002,0.179786505,0.032323187
